"Date:";"2024-03-20 15:07:34"
"Programme python:";"D:\Programmes-kicad-Python\bom_csv_grouped_by_value_with_fp.py"
"";""
"";""
"Ref";"Valeur";"Fabriquant";"Reference fabricant";"Distributeur 1";"Distributeur 2";"Cmp name";"Description";"Quantite";"Footprint";"Documentation";"DNP"
"C2";"100p";"KEMET";"C0603C101J3GACTU";"205-3319(RS)";"";"R";"Resistor";"1";"Omipassif:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder";"https://docs.rs-online.com/3344/A700000007097346.pdf";""
"C3";"1n";"Vishay";"VJ0603A102FXACW1BC";"272-7830(RS)";"";"R";"Resistor";"1";"Omipassif:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder";"https://docs.rs-online.com/a355/A700000010136499.pdf";""
"C4";"10n";"Vishay";"VJ1210A103FXAAT";"651-9998(RS)";"";"R";"Resistor";"1";"Omipassif:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder";"https://docs.rs-online.com/fe71/A700000010135799.pdf";""
"C5";"100n";"Vishay";"VJ0603Y104KXBCW1BC";"272-7888(RS)";"";"R";"Resistor";"1";"Omipassif:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder";"https://docs.rs-online.com/a2f5/A700000010136827.pdf";""
"C6";"1u";"Vishay";"VJ0805Y105KXATW1BC";"272-7946(RS)";"";"R";"Resistor";"1";"Omipassif:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder";"https://docs.rs-online.com/0c1a/A700000010135775.pdf";""
"C7";"10u";"KEMET";"T356B105K050AT";"152-6096(RS)";"";"R";"Resistor";"1";"Omipassif:Condo_1_2x0_5 - Copie";"https://docs.rs-online.com/3c46/0900766b815a4713.pdf";""
"C8";"100u";"RS PRO";"RS PRO";"711-2096(RS)";"";"R";"Resistor";"1";"Omipassif:Condo_1_7x0_5";"https://docs.rs-online.com/6a51/0900766b81581771.pdf";""
"C9";"1000u";"RS PRO";"RS PRO";"711-0842P(RS)";"";"R";"Resistor";"1";"Omipassif:Condo_2x1";"~";""
"C10";"10000u";"RS PRO";"RS PRO";"711-1214(RS)";"";"R";"Resistor";"1";"Omipassif:Condo_4x2";"https://docs.rs-online.com/f955/0900766b815816cf.pdf";""
"C11";"X";"";"";"";"";"R";"Resistor";"1";"Omipassif:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder";"~";""
"C12";"X";"";"";"";"";"R";"Resistor";"1";"Omipassif:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder";"~";""
"H1";"MountingHole";"-";"-";"";"";"Fixation_M3_1";"Mounting Hole without connection";"1";"Omidivers:Fixation_M3";"~";""
"H2";"MountingHole";"-";"-";"";"";"Fixation_M3_1";"Mounting Hole without connection";"1";"Omidivers:Fixation_M3";"~";""
"H3";"MountingHole";"-";"-";"";"";"Fixation_M3_1";"Mounting Hole without connection";"1";"Omidivers:Fixation_M3";"~";""
"J1";"DIN41612_SYNOR";"HARTING";"9732646801";"RS:470-465";"F:1096940";"DIN41612_SYNOR";"DIN R female angled, 64pin, PL2 (rows a,c loaded)";"1";"Omiconnecteur:DIN41612_SYNOR";"https://b2b.harting.com/files/download/PRD/PDF_PD/PDF_PD_09731966903_EN.pdf";""
